,Deciles,SalePrice,Prediction
0,9,358515.99029126216,341956.4039557394
1,8,254872.3137254902,252827.02972797968
2,7,214875.88235294117,218068.63076683506
3,6,191313.8725490196,194037.36554024738
4,5,171545.98039215687,173306.46177759263
5,4,152023.38235294117,154883.40974589804
6,3,141882.8137254902,140282.43479448184
7,2,130729.49019607843,127473.8605125815
8,1,117796.49019607843,114307.79831530027
9,0,91138.66019417475,90328.03250124402
